Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ye, Haibo; Gu, Tao; Zhu, Xiaorui; Xu, Jinwei; Tao, Xianping; Lu, Jian; Jin, Ning; ",FTrack: Infrastructure-free floor localization via mobile phone sensing,2012 IEEE International Conference on Pervasive Computing and Communications,,,2-10,2012,IEEE
"Jingwei, Xu; Liang, Wang; Xianping, Tao; ",Building a real-world body area sensor network system,Proceedings of the Second Asia-Pacific Symposium on Internetware,,,1-4,2010,
"Xu, Jingwei; Yao, Yuan; Tong, Hanghang; Tao, Xianping; Lu, Jian; ",Ice-Breaking: Mitigating Cold-Start Recommendation Problem by Rating Comparison.,IJCAI,,,3981-3987,2015,
"Ma, Jun; Wang, Liang; Xu, Jingwei; Tao, Xianping; Lu, Jian; ",Artemis-FollowMe: An agent-based middleware for mobile context-aware applications,2011 6th International Conference on Pervasive Computing and Applications,,,139-145,2011,IEEE
"Xu, Jingwei; Yao, Yuan; Tong, Hanghang; Tao, Xianping; Lu, Jian; ",R a P are: A generic strategy for cold-start rating prediction problem,IEEE Transactions on Knowledge and Data Engineering,29,6,1296-1309,2016,IEEE
"Xu, Jingwei; Yao, Yuan; Tong, Hanghang; Tao, Xianping; Lu, Jian; ",Hoorays: High-order optimization of rating distance for recommender systems,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,525-534,2017,
"Zheng, Zhiwen; Wang, Liang; Xu, Jingwei; Wu, Tianheng; Wu, Simeng; Tao, Xianping; ",Measuring and predicting the relevance ratings between floss projects using topic features,Proceedings of the 10th Asia-Pacific Symposium on Internetware,,,1-10,2018,
"Li, Zenan; Ma, Xiaoxing; Xu, Chang; Cao, Chun; Xu, Jingwei; Lü, Jian; ",Boosting operational dnn testing efficiency through conditioning,Proceedings of the 2019 27th ACM Joint meeting on European software engineering conference and symposium on the foundations of software engineering,,,499-509,2019,
"Li, Zenan; Ma, Xiaoxing; Xu, Chang; Xu, Jingwei; Cao, Chun; Lü, Jian; ",Operational calibration: Debugging confidence errors for dnns in the field,Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,,,901-913,2020,
"Wang, Yuehuan; Li, Zenan; Xu, Jingwei; Yu, Ping; Ma, Xiaoxing; ",Fast robustness prediction for deep neural network,Proceedings of the 11th Asia-Pacific Symposium on Internetware,,,1-10,2019,
"Wang, Huiyan; Xu, Jingwei; Xu, Chang; Ma, Xiaoxing; Lu, Jian; ",DISSECTOR: Input Validation for Deep Learning Applications by Crossing-layer Dissection,42nd ACM/IEEE International Conference on Software Engineering (ICSE 2020),,,,2020,
